short_description,location,starting_time,end_time,duration,long_description,booking_type,created_by,approved,professor,exam,degree,last_change
Sicurezza informatica,574d383a12f092e806d8eaad,2016-06-10T09:00:00.000Z,2016-06-10T11:00:00.000Z,2 ore,"Systems, social and mobile security",Prenotazione,ws740001,true,Bistarelli Stefano,false,Informatica Magistrale I Anno,2016-02-25T08:28:47.000Z
Calcolo Numerico,574d383a12f092e806d8eaac,2016-06-10T11:00:00.000Z,2016-06-10T13:00:00.000Z,2 ore,,Prenotazione,ws740001,true,Iannazzo Bruno,false,Informatica II Anno,2016-02-23T17:35:01.000Z
Mathematical Models for Finance,574d383a12f092e806d8eaa2,2016-06-10T11:00:00.000Z,2016-06-10T13:00:00.000Z,2 ore,,Prenotazione,ae610001,true,Cretarola Alessandra,false,Matematica,2016-03-14T14:21:13.000Z
Equazioni Differenziali,574d383a12f092e806d8eaaa,2016-06-10T11:00:00.000Z,2016-06-10T13:00:00.000Z,2 ore,,Prenotazione,ae610001,true,Cardinali Tiziana,false,Matematica,2016-03-21T11:39:07.000Z
Programmazione 3,574d383a12f092e806d8eaa1,2016-06-10T11:00:00.000Z,2016-06-10T13:00:00.000Z,2 ore,,Prenotazione,ws740001,true,Baioletti Marco,false,Informatica III Anno,2016-02-23T18:14:08.000Z
Modelli e sistemi dell'intelligenza Artificiale-Intelligenza Artificiale,574d383a12f092e806d8eaad,2016-06-10T11:00:00.000Z,2016-06-10T13:00:00.000Z,2 ore,"Interactive intelligent devices, systems and environments",Prenotazione,ws740001,true,Milani Alfredo,false,Informatica Magistrale I Anno,2016-02-25T08:27:24.000Z
Sistemi con vincoli e rappresentazione della conoscenza,574d383a12f092e806d8eaab,2016-06-10T11:00:00.000Z,2016-06-10T13:00:00.000Z,2 ore,,Prenotazione,ws740001,true,Bistarelli Stefano,false,Informatica Magistrale II Anno,2016-02-25T08:51:42.000Z
Esonero MATEMATICA 2 per Chimica,574d383a12f092e806d8eaa4,2016-06-13T10:00:00.000Z,2016-06-13T13:00:00.000Z,3 ore,Esonero MATEMATICA 2 per Chimica,Prenotazione,mg710001,true,Giulietti Massimo,true,Altro,2016-05-27T11:02:30.000Z
Geometria II,574d383a12f092e806d8eaaa,2016-06-13T11:00:00.000Z,2016-06-13T19:00:00.000Z,8 ore,Esame,Prenotazione,ac550002,true,Caterino Alessandro,true,Matematica I Anno,2016-05-27T08:48:41.000Z
Matematica per Geologia,574d383a12f092e806d8eaa8,2016-06-13T14:00:00.000Z,2016-06-13T16:00:00.000Z,2 ore,,Prenotazione,pr520001,true,Benedetti Irene,false,Altro,2016-03-05T15:44:46.000Z
Algebra II,574d383a12f092e806d8eaac,2016-06-14T09:00:00.000Z,2016-06-14T12:00:00.000Z,3 ore,prova scritta,Prenotazione,al530001,true,Lorenzini Anna,true,Matematica I Anno,2016-05-18T16:30:04.000Z
prova scritta Matematica per le Applicazioni Canale B,574d383a12f092e806d8eaa4,2016-06-14T09:00:00.000Z,2016-06-14T12:00:00.000Z,3 ore,prova scritta Matematica per le Applicazioni Canale B,Prenotazione,rf690001,true,Filippucci Roberta,false,Altro,2016-01-07T13:31:23.000Z
Prova scritta di Calcolo Numerico,574d383a12f092e806d8eaa5,2016-06-14T09:00:00.000Z,2016-06-14T14:00:00.000Z,5 ore,,Prenotazione,bi740001,true,Iannazzo Bruno,true,Informatica II Anno,2016-05-29T12:15:43.000Z
Pianificazione della sicurezza informatica e elementi di informatica forense,574d383a12f092e806d8eaab,2016-06-14T09:00:00.000Z,2016-06-14T11:00:00.000Z,2 ore,,Prenotazione,ae610001,true,Milani Alfredo,false,Informatica,2016-03-08T11:15:17.000Z
Programmazione dichiarativa,574d383a12f092e806d8eaa2,2016-06-14T10:00:00.000Z,2016-06-14T13:00:00.000Z,3 ore,,Prenotazione,af680003,true,Formisano Andrea,true,Informatica Magistrale II Anno,2015-12-03T13:24:58.000Z
Matematica per Geologia,574d383a12f092e806d8eaa8,2016-06-14T11:00:00.000Z,2016-06-14T13:00:00.000Z,2 ore,,Prenotazione,ae610001,true,Benedetti Irene,false,Matematica,2016-02-24T08:50:45.000Z
Sistemi operativi con laboratorio,574d383a12f092e806d8eaac,2016-06-14T15:00:00.000Z,2016-06-14T18:00:00.000Z,3 ore,,Prenotazione,af680003,true,Formisano Andrea,true,Informatica II Anno,2015-12-03T13:24:50.000Z
Matematica Discreta - Modulo I,574d383a12f092e806d8eaa4,2016-06-14T15:00:00.000Z,2016-06-14T18:00:00.000Z,3 ore,Prova scritta MD1,Prenotazione,mg710001,true,Giulietti Massimo,true,Informatica I Anno,2016-05-27T11:02:27.000Z
Programmazione II con laboratorio,574d383a12f092e806d8eaa1,2016-06-15T09:00:00.000Z,2016-06-15T13:00:00.000Z,4 ore,esame,Prenotazione,sm650001,true,Marcugini Stefano,true,Informatica I Anno,2016-05-12T17:46:25.000Z
Programmazione II con laboratorio,574d383a12f092e806d8eaad,2016-06-15T09:00:00.000Z,2016-06-15T13:00:00.000Z,4 ore,Esame,Prenotazione,sm650001,true,Marcugini Stefano,true,Informatica I Anno,2016-05-12T17:46:33.000Z
Programmazione II con laboratorio,574d383a12f092e806d8eaab,2016-06-15T09:00:00.000Z,2016-06-15T13:00:00.000Z,4 ore,Esame,Prenotazione,sm650001,true,Marcugini Stefano,true,Informatica I Anno,2016-05-12T17:46:39.000Z
Studio Assistito Matematica per CdL Geologia,574d383a12f092e806d8eaa2,2016-06-15T14:00:00.000Z,2016-06-15T16:00:00.000Z,2 ore,,Prenotazione,pr520001,true,Benedetti Irene,false,Altro,2016-03-08T10:37:56.000Z
Algebra II,574d383a12f092e806d8eaa7,2016-06-16T09:00:00.000Z,2016-06-16T14:00:00.000Z,5 ore,prova orale,Prenotazione,al530001,true,Lorenzini Anna,true,Matematica I Anno,2016-05-18T16:30:44.000Z
Algebra II,574d383a12f092e806d8eaa7,2016-06-16T14:00:00.000Z,2016-06-16T19:00:00.000Z,5 ore,prova orale,Prenotazione,al530001,true,Lorenzini Anna,true,Matematica I Anno,2016-05-18T16:30:42.000Z
Esame Calcolo Numerico,574d383a12f092e806d8eaa4,2016-06-17T09:00:00.000Z,2016-06-17T14:00:00.000Z,5 ore,,Prenotazione,bi740001,true,Iannazzo Bruno,false,Informatica II Anno,2016-05-12T18:30:26.000Z
Algebra II,574d383a12f092e806d8eaa7,2016-06-17T09:00:00.000Z,2016-06-17T14:00:00.000Z,5 ore,prova orale,Prenotazione,al530001,true,Lorenzini Anna,true,Matematica I Anno,2016-05-18T16:30:40.000Z
Geometria II,574d383a12f092e806d8eaa2,2016-06-20T09:00:00.000Z,2016-06-20T14:00:00.000Z,5 ore,Esame,Prenotazione,ac550002,true,Caterino Alessandro,true,Matematica I Anno,2016-05-27T08:48:40.000Z
Geometria I,574d383a12f092e806d8eaa7,2016-06-20T09:00:00.000Z,2016-06-20T11:00:00.000Z,2 ore,esame scritto,Prenotazione,ae610001,true,Vincenti Rita,true,Matematica I Anno,2015-09-25T09:52:25.000Z
Algebra II,574d383a12f092e806d8eaaa,2016-06-20T09:00:00.000Z,2016-06-20T14:00:00.000Z,5 ore,prova orale,Prenotazione,al530001,true,Lorenzini Anna,true,Matematica I Anno,2016-05-23T13:09:42.000Z
Programmazione I con laboratorio,574d383a12f092e806d8eaa4,2016-06-20T11:00:00.000Z,2016-06-20T13:00:00.000Z,2 ore,,Prenotazione,pr520001,true,Santini Francesco,false,Informatica I Anno,2016-04-21T12:39:32.000Z
Geometria II,574d383a12f092e806d8eaaa,2016-06-20T14:00:00.000Z,2016-06-20T19:00:00.000Z,5 ore,Esame,Prenotazione,ac550002,true,Caterino Alessandro,true,Matematica I Anno,2016-05-27T08:48:38.000Z
Geometria III,574d383a12f092e806d8eaa4,2016-06-21T09:00:00.000Z,2016-06-21T12:00:00.000Z,3 ore,,Prenotazione,pr520001,true,Guerra,true,Matematica II Anno,2016-05-23T13:20:26.000Z
Geometria I,574d383a12f092e806d8eaa7,2016-06-22T09:00:00.000Z,2016-06-22T13:00:00.000Z,4 ore,orali,Prenotazione,rv470001,true,Vincenti Rita,true,Matematica I Anno,2015-09-25T09:54:06.000Z
Lab di Informatica per Sc Biologiche,574d383a12f092e806d8eaab,2016-06-22T09:00:00.000Z,2016-06-22T11:00:00.000Z,2 ore,,Prenotazione,pr520001,true,Pallottelli Simonetta,true,Altro,2015-12-09T09:34:00.000Z
SEMINARIO,574d383a12f092e806d8eaa3,2016-06-22T12:00:00.000Z,2016-06-22T15:00:00.000Z,3 ore,,Prenotazione,pr520001,true,Tasso Sergio,false,Altro,2016-05-16T09:01:24.000Z
Sistemi multimediali,574d383a12f092e806d8eaab,2016-06-23T09:00:00.000Z,2016-06-23T11:00:00.000Z,2 ore,,Prenotazione,pr520001,true,Pallottelli Simonetta,true,Informatica III Anno,2015-12-04T13:53:07.000Z
Prova scritta,574d383a12f092e806d8eaa4,2016-06-24T09:00:00.000Z,2016-06-24T13:00:00.000Z,4 ore,Prova scritta esame di Analisi Matematica II -,Prenotazione,tc590001,true,Tiziana Cardinali,true,Matematica II Anno,2016-05-13T13:05:48.000Z
Esami,574d383a12f092e806d8eaad,2016-06-24T09:00:00.000Z,2016-06-24T14:00:00.000Z,5 ore,"Strumenti per Web e data Management
Sistemi con Vincoli
Sicurezza Informatica
",Prenotazione,sb680004,true,Bistarelli Stefano,true,Altro,2016-05-31T06:54:21.000Z
Prove scritte MATEMATICA per Chimica,574d383a12f092e806d8eaac,2016-06-27T09:00:00.000Z,2016-06-27T13:00:00.000Z,4 ore,Prove scritte MATEMATICA per Chimica,Prenotazione,mg710001,true,Giulietti Massimo,true,Altro,2016-05-27T11:02:25.000Z
Geometria II,574d383a12f092e806d8eaa4,2016-06-27T09:00:00.000Z,2016-06-27T13:00:00.000Z,4 ore,Esame,Prenotazione,ac550002,true,Caterino Alessandro,true,Matematica I Anno,2016-05-27T08:48:36.000Z
Geometria I,574d383a12f092e806d8eaa7,2016-06-27T09:00:00.000Z,2016-06-27T13:00:00.000Z,4 ore,Orali,Prenotazione,rv470001,true,Vincenti Rita,true,Matematica I Anno,2015-09-25T09:56:51.000Z
Esame CN,574d383a12f092e806d8eaa5,2016-06-28T09:00:00.000Z,2016-06-28T19:00:00.000Z,10 ore,Prova scritta Analisi Matematica,Prenotazione,ab640001,true,Boccuto Antonio,true,Informatica I Anno,2016-02-09T11:50:02.000Z
Algoritmi e strutture dati con Laboratorio,574d383a12f092e806d8eaac,2016-06-28T15:00:00.000Z,2016-06-28T17:00:00.000Z,2 ore,esami,Prenotazione,mp620002,true,Pinotti Maria Cristina,true,Informatica II Anno,2015-09-23T08:55:50.000Z
Analisi matematica,574d383a12f092e806d8eaa7,2016-06-29T09:00:00.000Z,2016-06-29T16:00:00.000Z,7 ore,,Prenotazione,ab640001,true,Boccuto Antonio,true,Informatica I Anno,2016-02-09T11:50:34.000Z
Geometria II,574d383a12f092e806d8eaaa,2016-06-29T09:00:00.000Z,2016-06-29T14:00:00.000Z,5 ore,Esame,Prenotazione,ac550002,true,Caterino Alessandro,true,Matematica I Anno,2016-05-27T08:48:34.000Z
Programmazione II con laboratorio,574d383a12f092e806d8eaa1,2016-06-30T09:00:00.000Z,2016-06-30T13:00:00.000Z,4 ore,esame,Prenotazione,sm650001,true,Marcugini Stefano,true,Informatica I Anno,2016-05-12T17:47:00.000Z
Programmazione II con laboratorio,574d383a12f092e806d8eaad,2016-06-30T09:00:00.000Z,2016-06-30T13:00:00.000Z,4 ore,esame,Prenotazione,sm650001,true,Marcugini Stefano,true,Informatica I Anno,2016-05-12T17:46:59.000Z
Programmazione II con laboratorio,574d383a12f092e806d8eaab,2016-06-30T09:00:00.000Z,2016-06-30T13:00:00.000Z,4 ore,esame,Prenotazione,sm650001,true,Marcugini Stefano,true,Informatica I Anno,2016-05-12T17:47:02.000Z
Esame Calcolo Numerico,574d383a12f092e806d8eaa4,2016-07-01T09:00:00.000Z,2016-07-01T14:00:00.000Z,5 ore,,Prenotazione,bi740001,true,Iannazzo Bruno,false,Informatica II Anno,2016-05-12T18:30:24.000Z
Geometria I,574d383a12f092e806d8eaa7,2016-07-04T09:00:00.000Z,2016-07-04T11:00:00.000Z,2 ore,Scritto.,Prenotazione,rv470001,true,Vincenti Rita,true,Matematica I Anno,2015-09-25T09:51:07.000Z
Algebra II,574d383a12f092e806d8eaac,2016-07-05T09:00:00.000Z,2016-07-05T12:00:00.000Z,3 ore,prova scritta,Prenotazione,al530001,true,Lorenzini Anna,true,Matematica I Anno,2016-05-18T16:30:38.000Z
Geometria I,574d383a12f092e806d8eaa7,2016-07-06T09:00:00.000Z,2016-07-06T13:00:00.000Z,4 ore,Orali.,Prenotazione,rv470001,true,Vincenti Rita,true,Matematica I Anno,2015-09-25T09:58:17.000Z
Fisica generale,574d383a12f092e806d8eaa8,2016-07-06T09:00:00.000Z,2016-07-06T13:00:00.000Z,4 ore,,Prenotazione,ae610001,true,Tosti Gino,true,Informatica,2016-01-18T13:41:31.000Z
Algebra II,574d383a12f092e806d8eaa7,2016-07-07T09:00:00.000Z,2016-07-07T14:00:00.000Z,5 ore,prova orale,Prenotazione,al530001,true,Lorenzini Anna,true,Matematica I Anno,2016-05-18T16:30:35.000Z
Lab di Informatica per Sc Biologiche,574d383a12f092e806d8eaab,2016-07-07T09:00:00.000Z,2016-07-07T11:00:00.000Z,2 ore,,Prenotazione,pr520001,true,Pallottelli Simonetta,true,Altro,2015-12-09T09:34:42.000Z
Algebra II,574d383a12f092e806d8eaa7,2016-07-07T14:00:00.000Z,2016-07-07T19:00:00.000Z,5 ore,prova orale,Prenotazione,al530001,true,Lorenzini Anna,true,Matematica I Anno,2016-05-18T16:30:33.000Z
Algebra II,574d383a12f092e806d8eaa7,2016-07-08T09:00:00.000Z,2016-07-08T14:00:00.000Z,5 ore,prova orale,Prenotazione,al530001,true,Lorenzini Anna,true,Matematica I Anno,2016-05-18T16:30:32.000Z
Programmazione dichiarativa,574d383a12f092e806d8eaa2,2016-07-08T10:00:00.000Z,2016-07-08T13:00:00.000Z,3 ore,,Prenotazione,af680003,true,Formisano Andrea,true,Informatica Magistrale II Anno,2015-12-03T13:24:41.000Z
Sistemi operativi con laboratorio,574d383a12f092e806d8eaac,2016-07-08T15:00:00.000Z,2016-07-08T18:00:00.000Z,3 ore,,Prenotazione,af680003,true,Formisano Andrea,true,Informatica II Anno,2015-12-03T13:24:33.000Z
Prove scritte MATEMATICA per Chimica,574d383a12f092e806d8eaac,2016-07-11T09:00:00.000Z,2016-07-11T13:00:00.000Z,4 ore,Prove scritte MATEMATICA per Chimica,Prenotazione,mg710001,true,Giulietti Massimo,true,Altro,2016-05-27T11:02:22.000Z
Sistemi multimediali,574d383a12f092e806d8eaab,2016-07-11T09:00:00.000Z,2016-07-11T11:00:00.000Z,2 ore,,Prenotazione,pr520001,true,Pallottelli Simonetta,true,Informatica III Anno,2015-12-09T09:40:16.000Z
Prova scritta,574d383a12f092e806d8eaa4,2016-07-12T09:00:00.000Z,2016-07-12T13:00:00.000Z,4 ore,Prova scritta di Analisi Matematica II,Prenotazione,tc590001,true,Tiziana Cardinali,true,Matematica II Anno,2016-05-13T13:05:46.000Z
Analisi matematica,574d383a12f092e806d8eaa5,2016-07-12T09:00:00.000Z,2016-07-12T19:00:00.000Z,10 ore,Esame scritto Analisi Matematica Corso di Laurea in Informatica,Prenotazione,ab640001,true,Boccuto Antonio,true,Informatica I Anno,2015-11-18T13:43:24.000Z
Algoritmi e strutture dati con Laboratorio,574d383a12f092e806d8eaac,2016-07-12T15:00:00.000Z,2016-07-12T18:00:00.000Z,3 ore,,Prenotazione,mp620002,true,Pinotti Maria Cristina,true,Informatica II Anno,2015-09-23T11:34:58.000Z
Analisi matematica,574d383a12f092e806d8eaa7,2016-07-13T09:00:00.000Z,2016-07-13T16:00:00.000Z,7 ore,,Prenotazione,ab640001,true,Boccuto Antonio,true,Informatica I Anno,2016-02-09T11:51:03.000Z
Lauree Matematica,574d383a12f092e806d8eaa3,2016-07-14T09:00:00.000Z,2016-07-14T19:00:00.000Z,10 ore,,Prenotazione,ae610001,true,Pucci Patrizia,false,Matematica,2015-08-20T12:43:35.000Z
Programmazione II con laboratorio,574d383a12f092e806d8eaa1,2016-07-14T09:00:00.000Z,2016-07-14T13:00:00.000Z,4 ore,,Prenotazione,pr520001,true,Marcugini Stefano,false,Informatica I Anno,2016-05-13T11:43:05.000Z
Programmazione II con laboratorio,574d383a12f092e806d8eaad,2016-07-14T09:00:00.000Z,2016-07-14T13:00:00.000Z,4 ore,,Prenotazione,pr520001,true,Marcugini Stefano,false,Informatica I Anno,2016-05-13T11:43:05.000Z
Programmazione II con laboratorio,574d383a12f092e806d8eaab,2016-07-14T09:00:00.000Z,2016-07-14T13:00:00.000Z,4 ore,,Prenotazione,pr520001,true,Marcugini Stefano,false,Informatica I Anno,2016-05-13T11:43:05.000Z
Geometria II,574d383a12f092e806d8eaac,2016-07-15T09:00:00.000Z,2016-07-15T13:00:00.000Z,4 ore,Esame,Prenotazione,ac550002,true,Caterino Alessandro,true,Matematica I Anno,2016-05-27T08:48:32.000Z
Geometria III,574d383a12f092e806d8eaa4,2016-07-15T09:00:00.000Z,2016-07-15T12:00:00.000Z,3 ore,,Prenotazione,pr520001,true,Guerra Lucio,true,Matematica II Anno,2016-05-23T13:21:04.000Z
Algebra II,574d383a12f092e806d8eaac,2016-07-18T09:00:00.000Z,2016-07-18T12:00:00.000Z,3 ore,prova scritta,Prenotazione,al530001,true,Lorenzini Anna,true,Matematica I Anno,2016-05-18T16:30:30.000Z
scritto geometria 1/orale di Combinatorics II,574d383a12f092e806d8eaa7,2016-07-18T09:00:00.000Z,2016-07-18T13:00:00.000Z,4 ore,scritto geometria 1 e orale di Combinatorics II,Prenotazione,rv470001,true,Vincenti Rita,false,Matematica I Anno,2016-05-16T06:54:09.000Z
Geometria II,574d383a12f092e806d8eaaa,2016-07-19T09:00:00.000Z,2016-07-19T19:00:00.000Z,10 ore,Esame,Prenotazione,ac550002,true,Caterino Alessandro,true,Matematica I Anno,2016-05-27T08:48:29.000Z
Lauree Informatica,574d383a12f092e806d8eaa3,2016-07-19T09:00:00.000Z,2016-07-19T19:00:00.000Z,10 ore,,Prenotazione,ws740001,true,Carpi Arturo,false,Informatica,2015-11-24T16:15:26.000Z
Laurea Informatica,574d383a12f092e806d8eaa0,2016-07-19T09:00:00.000Z,2016-07-19T19:00:00.000Z,10 ore,,Prenotazione,ws740001,true,Carpi Arturo,false,Informatica,2015-11-24T13:32:33.000Z
orali geometria 1,574d383a12f092e806d8eaa7,2016-07-21T09:00:00.000Z,2016-07-21T13:00:00.000Z,4 ore,orali geometria 1,Prenotazione,rv470001,true,Vincenti Rita,false,Matematica I Anno,2016-05-16T06:54:06.000Z
Algebra II,574d383a12f092e806d8eaaa,2016-07-21T09:00:00.000Z,2016-07-21T14:00:00.000Z,5 ore,prova orale,Prenotazione,al530001,true,Lorenzini Anna,true,Matematica I Anno,2016-05-18T16:30:28.000Z
Algebra II,574d383a12f092e806d8eaaa,2016-07-21T14:00:00.000Z,2016-07-21T19:00:00.000Z,5 ore,prova orale,Prenotazione,al530001,true,Lorenzini Anna,true,Matematica I Anno,2016-05-18T16:30:27.000Z
Algebra II,574d383a12f092e806d8eaa7,2016-07-22T09:00:00.000Z,2016-07-22T14:00:00.000Z,5 ore,prova orale,Prenotazione,al530001,true,Lorenzini Anna,true,Matematica I Anno,2016-05-18T16:30:24.000Z
Prove scritte MATEMATICA per Chimica,574d383a12f092e806d8eaac,2016-07-25T09:00:00.000Z,2016-07-25T13:00:00.000Z,4 ore,Prove scritte MATEMATICA per Chimica,Prenotazione,mg710001,true,Giulietti Massimo,true,Altro,2016-05-27T11:02:20.000Z
"Workshop ""Higher structures in Geometry""",574d383a12f092e806d8eaa3,2016-07-25T09:00:00.000Z,2016-07-25T10:00:00.000Z,1 ore,,Prenotazione,nc670001,true,Ciccoli Nicola,false,Altro,2016-03-30T12:12:40.000Z
"Workshop ""Higher structures in Geometry""",574d383a12f092e806d8eaa3,2016-07-26T09:00:00.000Z,2016-07-26T10:00:00.000Z,1 ore,,Prenotazione,nc670001,true,Ciccoli Nicola,false,Altro,2016-03-30T12:12:40.000Z
"Workshop ""Higher structures in Geometry""",574d383a12f092e806d8eaa3,2016-07-27T09:00:00.000Z,2016-07-27T10:00:00.000Z,1 ore,,Prenotazione,nc670001,true,Ciccoli Nicola,false,Altro,2016-03-30T12:12:40.000Z
"Workshop ""Higher structures in Geometry""",574d383a12f092e806d8eaa3,2016-07-28T09:00:00.000Z,2016-07-28T10:00:00.000Z,1 ore,,Prenotazione,nc670001,true,Ciccoli Nicola,false,Altro,2016-03-30T12:12:40.000Z
"Workshop ""Higher structures in Geometry""",574d383a12f092e806d8eaa3,2016-07-29T09:00:00.000Z,2016-07-29T10:00:00.000Z,1 ore,,Prenotazione,nc670001,true,Ciccoli Nicola,false,Altro,2016-03-30T12:12:40.000Z
Summer school,574d383a12f092e806d8eaa6,2016-09-01T09:00:00.000Z,2016-09-01T19:00:00.000Z,10 ore,,Prenotazione,pr520001,true,Vinti Gianluca,false,Altro,2016-04-20T11:07:25.000Z
Analisi matematica,574d383a12f092e806d8eaa5,2016-09-01T09:00:00.000Z,2016-09-01T10:00:00.000Z,1 ore,,Prenotazione,ab640001,true,Boccuto Antonio,true,Informatica I Anno,2015-11-18T13:47:26.000Z
Sistemi multimediali,574d383a12f092e806d8eaab,2016-09-01T09:00:00.000Z,2016-09-01T11:00:00.000Z,2 ore,,Prenotazione,pr520001,true,Pallottelli Simonetta,true,Informatica III Anno,2015-12-09T09:41:27.000Z
Analisi matematica,574d383a12f092e806d8eaa5,2016-09-01T10:00:00.000Z,2016-09-01T19:00:00.000Z,9 ore,,Prenotazione,ab640001,true,Boccuto Antonio,true,Informatica I Anno,2015-11-18T13:46:53.000Z
Programmazione dichiarativa,574d383a12f092e806d8eaa2,2016-09-01T11:00:00.000Z,2016-09-01T13:00:00.000Z,2 ore,,Prenotazione,af680003,true,Formisano Andrea,true,Informatica Magistrale II Anno,2015-12-03T13:24:22.000Z
Sistemi operativi con laboratorio,574d383a12f092e806d8eaac,2016-09-01T15:00:00.000Z,2016-09-01T18:00:00.000Z,3 ore,,Prenotazione,af680003,true,Formisano Andrea,true,Informatica II Anno,2015-12-03T13:24:11.000Z
Analisi matematica,574d383a12f092e806d8eaa7,2016-09-02T09:00:00.000Z,2016-09-02T16:00:00.000Z,7 ore,,Prenotazione,ab640001,true,Boccuto Antonio,true,Informatica I Anno,2016-02-09T11:51:58.000Z
Prova di lingua italiana,574d383a12f092e806d8eaa6,2016-09-02T15:00:00.000Z,2016-09-02T19:00:00.000Z,4 ore,Per cittadini non comunitari residenti all'estero,Prenotazione,pr520001,true,Segreteria,false,Altro,2016-04-18T10:32:42.000Z
Geometria II,574d383a12f092e806d8eaa4,2016-09-05T09:00:00.000Z,2016-09-05T13:00:00.000Z,4 ore,Esame,Prenotazione,ac550002,true,Caterino Alessandro,true,Matematica I Anno,2016-05-27T08:48:27.000Z
Geometria I,574d383a12f092e806d8eaa7,2016-09-05T09:00:00.000Z,2016-09-05T11:00:00.000Z,2 ore,Scritto.,Prenotazione,rv470001,true,Vincenti Rita,true,Matematica I Anno,2015-09-25T09:58:55.000Z
Fisica generale,574d383a12f092e806d8eaa8,2016-09-05T09:00:00.000Z,2016-09-05T13:00:00.000Z,4 ore,,Prenotazione,ae610001,true,Tosti Gino,true,Informatica,2016-01-18T13:42:03.000Z
ESAME,574d383a12f092e806d8eaad,2016-09-05T09:00:00.000Z,2016-09-05T14:00:00.000Z,5 ore,"Sicurezza Informatica
Sistemi Con Vincoli
Strumenti per Web e Data Management",Prenotazione,sb680004,true,Bistarelli Stefano,true,Altro,2016-05-31T06:54:18.000Z
Prova scritta,574d383a12f092e806d8eaa4,2016-09-06T09:00:00.000Z,2016-09-06T13:00:00.000Z,4 ore,Prova scritta di Analisi Matematica II,Prenotazione,tc590001,true,Tiziana Cardinali,true,Matematica II Anno,2016-05-13T13:05:44.000Z
Algoritmi e strutture dati con Laboratorio,574d383a12f092e806d8eaac,2016-09-06T15:00:00.000Z,2016-09-06T18:00:00.000Z,3 ore,,Prenotazione,mp620002,true,Pinotti Maria Cristina,true,Informatica II Anno,2015-09-23T11:35:40.000Z
Geometria I,574d383a12f092e806d8eaa7,2016-09-07T09:00:00.000Z,2016-09-07T12:00:00.000Z,3 ore,Orali,Prenotazione,rv470001,true,Vincenti Rita,true,Matematica I Anno,2015-09-25T09:59:40.000Z
Lab di Informatica per Sc Biologiche,574d383a12f092e806d8eaad,2016-09-07T09:00:00.000Z,2016-09-07T11:00:00.000Z,2 ore,,Prenotazione,pr520001,true,Pallottelli Simonetta,true,Altro,2015-12-09T09:36:20.000Z
Geometria II,574d383a12f092e806d8eaaa,2016-09-08T09:00:00.000Z,2016-09-08T14:00:00.000Z,5 ore,Esame,Prenotazione,ac550002,true,Caterino Alessandro,true,Matematica I Anno,2016-05-27T08:48:25.000Z
Esame Calcolo Numerico,574d383a12f092e806d8eaa4,2016-09-09T09:00:00.000Z,2016-09-09T14:00:00.000Z,5 ore,,Prenotazione,bi740001,true,Iannazzo Bruno,false,Informatica II Anno,2016-05-12T18:30:22.000Z
Algebra II,574d383a12f092e806d8eaa6,2016-09-09T09:00:00.000Z,2016-09-09T12:00:00.000Z,3 ore,prova scritta,Prenotazione,al530001,true,Lorenzini Anna,true,Matematica I Anno,2016-05-18T16:30:22.000Z
Programmazione II con laboratorio,574d383a12f092e806d8eaa1,2016-09-12T09:00:00.000Z,2016-09-12T13:00:00.000Z,4 ore,esame,Prenotazione,sm650001,true,Marcugini Stefano,false,Informatica I Anno,2016-05-12T17:46:50.000Z
Programmazione II con laboratorio,574d383a12f092e806d8eaad,2016-09-12T09:00:00.000Z,2016-09-12T13:00:00.000Z,4 ore,esame,Prenotazione,sm650001,true,Marcugini Stefano,true,Informatica I Anno,2016-05-12T17:46:55.000Z
Programmazione II con laboratorio,574d383a12f092e806d8eaab,2016-09-12T09:00:00.000Z,2016-09-12T13:00:00.000Z,4 ore,esamr,Prenotazione,sm650001,true,Marcugini Stefano,true,Informatica I Anno,2016-05-12T17:46:57.000Z
Algebra II,574d383a12f092e806d8eaa7,2016-09-13T09:00:00.000Z,2016-09-13T14:00:00.000Z,5 ore,prova orale,Prenotazione,al530001,true,Lorenzini Anna,true,Matematica I Anno,2016-05-18T16:30:20.000Z
Concorso INdAM 40+2 borse di studio,574d383a12f092e806d8eaa4,2016-09-13T14:00:00.000Z,2016-09-13T19:00:00.000Z,5 ore,La prova inizia alle ore 14:30,Prenotazione,pr520001,true,Pucci Patrizia,false,Altro,2016-04-07T16:25:30.000Z
Algebra II,574d383a12f092e806d8eaa7,2016-09-13T14:00:00.000Z,2016-09-13T19:00:00.000Z,5 ore,prova orale,Prenotazione,al530001,true,Lorenzini Anna,true,Matematica I Anno,2016-05-18T16:30:17.000Z
Algebra II,574d383a12f092e806d8eaa7,2016-09-14T09:00:00.000Z,2016-09-14T14:00:00.000Z,5 ore,prova orale,Prenotazione,al530001,true,Lorenzini Anna,true,Matematica I Anno,2016-05-18T16:30:16.000Z
Analisi matematica,574d383a12f092e806d8eaa5,2016-09-15T09:00:00.000Z,2016-09-15T19:00:00.000Z,10 ore,,Prenotazione,ab640001,true,Boccuto Antonio,true,Informatica I Anno,2015-11-18T13:46:32.000Z
Sistemi multimediali,574d383a12f092e806d8eaab,2016-09-15T09:00:00.000Z,2016-09-15T11:00:00.000Z,2 ore,,Prenotazione,pr520001,true,Pallottelli Simonetta,true,Informatica III Anno,2015-12-09T09:41:55.000Z
