"Breve Descrizione","Gruppo","Sala","Ora Inizio","Ora Fine","Durata","Descrizione completa","Corrispondenza","Creato da","Tipo di prenotazione","Stato dell'approvazione","Docente","E' un esame?","Corso di Studi","Ultima Modifica"
"Esame Dottorato","Aule","Sala Riunioni","11:00:00 - giovedì 28 gennaio 2016","15:00:00 - giovedì 28 gennaio 2016","4 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Bardaro Carlo","Yes","Matematica","17:35:24 - martedì 19 gennaio 2016"
"Sistemi operativi con laboratorio","Aule","A0","14:00:00 - giovedì 28 gennaio 2016","15:00:00 - giovedì 28 gennaio 2016","1 ore","","CdS interno del Dipartimento","af680003","Prenotazione","Approvato","Formisano Andrea","Yes","Informatica II Anno","13:25:06 - giovedì 03 dicembre 2015"
"Algebra I","Aule","C2","14:00:00 - giovedì 28 gennaio 2016","19:00:00 - giovedì 28 gennaio 2016","5 ore","","CdS interno del Dipartimento","pr520001","Prenotazione","Approvato","Buratti Marco","Yes","Matematica I Anno","11:43:22 - mercoledì 13 gennaio 2016"
"Sistemi operativi con laboratorio","Aule","A0","15:00:00 - giovedì 28 gennaio 2016","19:00:00 - giovedì 28 gennaio 2016","4 ore","","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Formisano Andrea","No","Informatica II Anno","12:20:43 - giovedì 20 agosto 2015"
"Matematica - Analisi Matematica II","Aule","A2","09:00:00 - lunedì 01 febbraio 2016","13:00:00 - lunedì 01 febbraio 2016","4 ore","Matematica -Prova scritta Analisi Matematica II","CdS interno del Dipartimento","tc590001","Prenotazione","Approvato","Cardinali Tiziana","Yes","Matematica II Anno","13:05:35 - venerdì 11 settembre 2015"
"Meccanica Razionale I","Aule","B1","09:00:00 - lunedì 01 febbraio 2016","11:00:00 - lunedì 01 febbraio 2016","2 ore","tutorato Giada Podelvento","CdS interno del Dipartimento","pr520001","Prenotazione","Approvato","Nucci Maria Clara","No","Matematica III Anno","10:56:58 - giovedì 17 dicembre 2015"
"uso didattico","Aule","NB19","13:00:00 - lunedì 01 febbraio 2016","19:00:00 - lunedì 01 febbraio 2016","6 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Baioletti Marco","No","Informatica","07:06:18 - martedì 02 febbraio 2016"
"Basi di dati e Sistemi Informativi con laboratorio","Aule","B3","14:00:00 - lunedì 01 febbraio 2016","19:00:00 - lunedì 01 febbraio 2016","5 ore","orale Basi di Dati","CdS interno del Dipartimento","rg760001","Prenotazione","Approvato","Gentilini Raffaella","Yes","Informatica","07:01:24 - lunedì 01 febbraio 2016"
"Esame Programmazione I e Informatica II","Aule","A2","09:00:00 - martedì 02 febbraio 2016","13:00:00 - martedì 02 febbraio 2016","4 ore","Prova scritta per l'esame di Programmazione I (Informatica primo anno) e Informatica II (Matematica secondo anno)","CdS interno del Dipartimento","fs770001","Prenotazione","Approvato","Francesco Santini","Yes","Informatica I Anno","15:58:57 - domenica 20 dicembre 2015"
"Basi di dati e Sistemi Informativi con laboratorio","Aule","B1","09:00:00 - martedì 02 febbraio 2016","19:00:00 - martedì 02 febbraio 2016","10 ore","orale Basi di Dati","CdS interno del Dipartimento","rg760001","Prenotazione","Approvato","Gentilini Raffaella","Yes","Informatica","07:02:08 - lunedì 01 febbraio 2016"
"Sistemi con vincoli e rappresentazione della conoscenza","Aule","B3","09:00:00 - martedì 02 febbraio 2016","18:00:00 - martedì 02 febbraio 2016","9 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Bistarelli Stefano","No","Informatica Magistrale II Anno","12:11:05 - giovedì 20 agosto 2015"
"uso didattico","Aule","NB19","09:00:00 - martedì 02 febbraio 2016","19:00:00 - martedì 02 febbraio 2016","10 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Baioletti Marco","No","Informatica","07:07:00 - martedì 02 febbraio 2016"
"Logopedia-Scienze Politiche-Odontoiatria","Aule","Aula Gialla","10:00:00 - mercoledì 03 febbraio 2016","12:00:00 - mercoledì 03 febbraio 2016","2 ore","","Altro","ae610001","Prenotazione","Approvato","Bistarelli Stefano","No","Altro","12:12:17 - giovedì 20 agosto 2015"
"Logopedia-Scienze Politiche-Odontoiatria","Aule","Aula Verde","10:00:00 - mercoledì 03 febbraio 2016","12:00:00 - mercoledì 03 febbraio 2016","2 ore","","Altro","ae610001","Prenotazione","Approvato","Bistarelli Stefano","No","Altro","12:12:17 - giovedì 20 agosto 2015"
"Riunione VQR","Aule","Aula Verde","13:00:00 - mercoledì 03 febbraio 2016","17:00:00 - mercoledì 03 febbraio 2016","4 ore","","Altro","ae610001","Prenotazione","Approvato","Vinti Gianluca","No","Altro","08:57:14 - mercoledì 03 febbraio 2016"
"Prova Scritta","Aule","B3","14:00:00 - mercoledì 03 febbraio 2016","17:00:00 - mercoledì 03 febbraio 2016","3 ore","Prova Scritta","CdS interno del Dipartimento","am610001","Prenotazione","Approvato","Milani Alfredo","No","Informatica Magistrale II Anno","12:39:22 - martedì 02 febbraio 2016"
"prova scritta Analisi Matematica III","Aule","A2","09:00:00 - giovedì 04 febbraio 2016","12:00:00 - giovedì 04 febbraio 2016","3 ore","prova scritta Analisi Matematica III","CdS interno del Dipartimento","rf690001","Prenotazione","Approvato","Filippucci Roberta","Yes","Matematica II Anno","13:31:35 - giovedì 07 gennaio 2016"
"Orali Calcolo Numerico","Aule","A3","09:00:00 - giovedì 04 febbraio 2016","14:00:00 - giovedì 04 febbraio 2016","5 ore","","Altro","bi740001","Prenotazione","Approvato","Iannazzo Bruno","Yes","Matematica","13:05:05 - martedì 02 febbraio 2016"
"Esame Teoria delle decisioni","Aule","C2","09:00:00 - giovedì 04 febbraio 2016","13:00:00 - giovedì 04 febbraio 2016","4 ore","Esame Teoria delle decisioni","Altro","dp850001","Prenotazione","Approvato","Petturiti Davide","Yes","Matematica","14:54:36 - giovedì 17 dicembre 2015"
"Lab di Informatica per Sc biologiche","Aule","Aula Gialla","09:00:00 - giovedì 04 febbraio 2016","11:00:00 - giovedì 04 febbraio 2016","2 ore","","Altro","pr520001","Prenotazione","Approvato","Pallottelli Simonetta","No","Altro","11:45:50 - giovedì 03 dicembre 2015"
"Riunione VQR","Aule","Aula Verde","10:00:00 - giovedì 04 febbraio 2016","12:00:00 - giovedì 04 febbraio 2016","2 ore","","Altro","ae610001","Prenotazione","Approvato","Vinti Gianluca","No","Altro","08:58:21 - mercoledì 03 febbraio 2016"
"Riunione mat/02 mat/03","Aule","Sala Riunioni","12:00:00 - giovedì 04 febbraio 2016","14:00:00 - giovedì 04 febbraio 2016","2 ore","","Altro","mg710001","Prenotazione","Approvato","G. Faina","No","Altro","12:44:14 - lunedì 01 febbraio 2016"
"Ingegneria del software","Aule","B3","14:00:00 - giovedì 04 febbraio 2016","17:00:00 - giovedì 04 febbraio 2016","3 ore","Prova Scritta","CdS interno del Dipartimento","am610001","Prenotazione","Approvato","Alfredo Milani","No","Informatica I Anno","10:12:18 - giovedì 04 febbraio 2016"
"Matematica per le Applicazioni","Aule","A2","09:00:00 - venerdì 05 febbraio 2016","13:00:00 - venerdì 05 febbraio 2016","4 ore","Biotecnologie","Altro","pr520001","Prenotazione","Approvato","Salvatori Maria Cesarina","Yes","Altro","13:47:12 - mercoledì 13 gennaio 2016"
"esami orali Analisi Matematica I","Aule","B3","09:00:00 - venerdì 05 febbraio 2016","19:00:00 - venerdì 05 febbraio 2016","10 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Brandi Primo","No","Matematica","09:10:36 - venerdì 05 febbraio 2016"
"orale di geometria","Aule","C2","09:00:00 - venerdì 05 febbraio 2016","13:00:00 - venerdì 05 febbraio 2016","4 ore","","CdS interno del Dipartimento","pz490001","Prenotazione","Approvato","Paolo Zappa","Yes","Matematica","07:04:27 - venerdì 05 febbraio 2016"
"Progetto bitcoin","Aule","Sala Riunioni","11:00:00 - venerdì 05 febbraio 2016","13:00:00 - venerdì 05 febbraio 2016","2 ore","","Altro","pr520001","Prenotazione","Approvato","Bistarelli Stefano","No","Altro","18:04:42 - sabato 30 gennaio 2016"
"Incontri per Olimpiadi della Matematica","Aule","A2","15:00:00 - venerdì 05 febbraio 2016","19:00:00 - venerdì 05 febbraio 2016","4 ore","","Altro","pr520001","Prenotazione","Approvato","Caterino Alessandro","No","Altro","13:08:01 - mercoledì 13 gennaio 2016"
"Analisi Matematica II per Fisica e Attività Protezione Civile","Aule","A0","09:00:00 - lunedì 08 febbraio 2016","13:00:00 - lunedì 08 febbraio 2016","4 ore","","Altro","ae610001","Prenotazione","Approvato"," Vitillaro Enzo","No","Altro","09:39:19 - giovedì 28 gennaio 2016"
"uso didattico","Aule","NB20","09:00:00 - lunedì 08 febbraio 2016","19:00:00 - lunedì 08 febbraio 2016","10 ore","","CdS interno del Dipartimento","rz690001","Prenotazione","Approvato","Bistarelli Stefano","No","Informatica","12:02:05 - venerdì 26 febbraio 2016"
"Tutorato Analisi Matematica II","Aule","B3","11:00:00 - lunedì 08 febbraio 2016","13:00:00 - lunedì 08 febbraio 2016","2 ore","Tutorato Analisi Matematica II , tenuto dalla Dott.ssa Serena Gentili - n.35 studenti","CdS interno del Dipartimento","tc590001","Prenotazione","Approvato","Cardinali Tiziana","No","Matematica II Anno","14:04:50 - martedì 15 dicembre 2015"
"Analisi 1 per Fisica","Aule","A2","09:00:00 - martedì 09 febbraio 2016","15:00:00 - martedì 09 febbraio 2016","6 ore","","Altro","pr520001","Prenotazione","Approvato","Martellotti Anna","Yes","Altro","15:26:25 - lunedì 21 dicembre 2015"
"Tutorato Analisi Matematica II","Aule","B3","09:00:00 - martedì 09 febbraio 2016","11:00:00 - martedì 09 febbraio 2016","2 ore","Tutorato Analisi Matematica II , tenuto dalla Dott.ssa Serena Gentili - n.35 studenti","CdS interno del Dipartimento","tc590001","Prenotazione","Approvato","Cardinali Tiziana","No","Matematica II Anno","14:04:53 - martedì 15 dicembre 2015"
"Analisi Matematica I","Aule","C2","09:00:00 - martedì 09 febbraio 2016","14:00:00 - martedì 09 febbraio 2016","5 ore","","CdS interno del Dipartimento","pr520001","Prenotazione","Approvato","Brandi Primo","Yes","Matematica I Anno","09:26:36 - venerdì 05 febbraio 2016"
"Analisi matematica","Aule","I1","09:00:00 - martedì 09 febbraio 2016","19:00:00 - martedì 09 febbraio 2016","10 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Boccuto Antonio","No","Matematica I Anno","12:16:19 - giovedì 20 agosto 2015"
"uso didattico","Aule","NB20","09:00:00 - martedì 09 febbraio 2016","19:00:00 - martedì 09 febbraio 2016","10 ore","","CdS interno del Dipartimento","rz690001","Prenotazione","Approvato","Bistarelli Stefano","No","Informatica","12:02:05 - venerdì 26 febbraio 2016"
"Esame Algoritmi ed Esonero","Aule","A0","15:00:00 - martedì 09 febbraio 2016","18:00:00 - martedì 09 febbraio 2016","3 ore","","CdS interno del Dipartimento","mp620002","Prenotazione","Approvato","Pinotti Maria Cristina","Yes","Informatica II Anno","08:15:04 - mercoledì 18 novembre 2015"
"Esame Algoritmi ed Esonero","Aule","A2","15:00:00 - martedì 09 febbraio 2016","18:00:00 - martedì 09 febbraio 2016","3 ore","Ho bisogno di due aule pertanto ho prenotato sia la A0 che la A2.","CdS interno del Dipartimento","mp620002","Prenotazione","Approvato","Pinotti Maria Cristina","Yes","Informatica II Anno","08:15:02 - mercoledì 18 novembre 2015"
"Analisi 1 per Fisica","Aule","A3","15:00:00 - martedì 09 febbraio 2016","19:00:00 - martedì 09 febbraio 2016","4 ore","","Altro","pr520001","Prenotazione","Approvato","Martellotti Anna","Yes","Altro","15:28:25 - lunedì 21 dicembre 2015"
"Esame","Aule","C2","15:00:00 - martedì 09 febbraio 2016","19:00:00 - martedì 09 febbraio 2016","4 ore","","CdS interno del Dipartimento","af680003","Prenotazione","Approvato","Formisano Andrea","Yes","Informatica II Anno","15:41:31 - lunedì 08 febbraio 2016"
"Analisi 1 per Fisica","Aule","I2","15:00:00 - martedì 09 febbraio 2016","19:00:00 - martedì 09 febbraio 2016","4 ore","","Altro","pr520001","Prenotazione","Approvato","Martellotti Anna","Yes","Altro","15:28:25 - lunedì 21 dicembre 2015"
"Analisi matematica","Aule","B3","09:00:00 - mercoledì 10 febbraio 2016","14:00:00 - mercoledì 10 febbraio 2016","5 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Boccuto Antonio","No","Matematica I Anno","12:17:31 - giovedì 20 agosto 2015"
"uso didattico","Aule","NB20","09:00:00 - mercoledì 10 febbraio 2016","19:00:00 - mercoledì 10 febbraio 2016","10 ore","","CdS interno del Dipartimento","rz690001","Prenotazione","Approvato","Bistarelli Stefano","No","Informatica","12:02:05 - venerdì 26 febbraio 2016"
"Esame","Aule","C2","15:00:00 - mercoledì 10 febbraio 2016","19:00:00 - mercoledì 10 febbraio 2016","4 ore","","CdS interno del Dipartimento","af680003","Prenotazione","Approvato","Formisano Andrea","Yes","Informatica II Anno","15:47:46 - lunedì 08 febbraio 2016"
"Analisi Matematica I","Aule","A2","09:00:00 - giovedì 11 febbraio 2016","13:00:00 - giovedì 11 febbraio 2016","4 ore","Prova Scritta","CdS interno del Dipartimento","ws740001","Prenotazione","Approvato","Brandi Primo","Yes","Matematica","08:32:47 - giovedì 11 febbraio 2016"
"Esame CdL Scienze socioantropologiche - Calcolo delle probabilità e statistica s","Aule","B1","09:00:00 - giovedì 11 febbraio 2016","13:00:00 - giovedì 11 febbraio 2016","4 ore","Esame CdL Scienze socioantropologiche - Calcolo delle probabilità e statistica sociale","Altro","dp850001","Prenotazione","Approvato","Petturiti Davide","Yes","Altro","14:54:37 - giovedì 17 dicembre 2015"
"Fisica Matematica II","Aule","B3","09:00:00 - giovedì 11 febbraio 2016","17:00:00 - giovedì 11 febbraio 2016","8 ore","Esami Fisica Matematica II LMMate  e Biotecnologia","CdS interno del Dipartimento","sd500002","Prenotazione","Approvato","De Lillo Silvana","Yes","Matematica Magistrale I Anno","10:47:23 - martedì 09 febbraio 2016"
"Riunione Commissione Didattica","Aule","Sala Riunioni","09:00:00 - giovedì 11 febbraio 2016","12:00:00 - giovedì 11 febbraio 2016","3 ore","","Altro","pr520001","Prenotazione","Approvato","Vinti Gianluca","No","Altro","15:35:56 - lunedì 08 febbraio 2016"
"uso didattico","Aule","NB19","09:00:00 - giovedì 11 febbraio 2016","19:00:00 - giovedì 11 febbraio 2016","10 ore","","Altro","ae610001","Prenotazione","Approvato","Tasso Sergio","No","Informatica","12:44:25 - mercoledì 10 febbraio 2016"
"uso didattico","Aule","NB20","09:00:00 - giovedì 11 febbraio 2016","19:00:00 - giovedì 11 febbraio 2016","10 ore","","CdS interno del Dipartimento","rz690001","Prenotazione","Approvato","Bistarelli Stefano","No","Informatica","12:02:05 - venerdì 26 febbraio 2016"
"uso didattico","Aule","Portatile 4","09:00:00 - giovedì 11 febbraio 2016","19:00:00 - giovedì 11 febbraio 2016","10 ore","","Altro","ae610001","Prenotazione","Approvato","Filippucci Roberta","No","Matematica","12:44:56 - mercoledì 10 febbraio 2016"
"Incontro Prof. Vinti","Aule","Sala Riunioni","14:00:00 - giovedì 11 febbraio 2016","17:00:00 - giovedì 11 febbraio 2016","3 ore","orario 14:30-16:30","Altro","pr520001","Prenotazione","Approvato","Vinti Gianluca","No","Altro","13:16:46 - giovedì 11 febbraio 2016"
"Incontri per Olimpiadi della Matematica","Aule","A2","15:00:00 - giovedì 11 febbraio 2016","19:00:00 - giovedì 11 febbraio 2016","4 ore","","Altro","pr520001","Prenotazione","Approvato","Fatabbi Giuliana","No","Altro","14:05:19 - martedì 12 gennaio 2016"
"Esame","Aule","C2","15:00:00 - giovedì 11 febbraio 2016","19:00:00 - giovedì 11 febbraio 2016","4 ore","","CdS interno del Dipartimento","af680003","Prenotazione","Approvato","Formisano Andrea","Yes","Informatica II Anno","15:47:46 - lunedì 08 febbraio 2016"
"Matematica CTF","Aule","A2","09:00:00 - venerdì 12 febbraio 2016","13:00:00 - venerdì 12 febbraio 2016","4 ore","Matematica con Elementi di Informatica","Altro","fp640001","Prenotazione","Approvato","Pambianco Fernanda","Yes","Altro","15:49:56 - martedì 29 dicembre 2015"
"uso didattico","Aule","NB20","09:00:00 - venerdì 12 febbraio 2016","19:00:00 - venerdì 12 febbraio 2016","10 ore","","CdS interno del Dipartimento","rz690001","Prenotazione","Approvato","Bistarelli Stefano","No","Informatica","12:02:05 - venerdì 26 febbraio 2016"
"Esame","Aule","C2","15:00:00 - venerdì 12 febbraio 2016","19:00:00 - venerdì 12 febbraio 2016","4 ore","","CdS interno del Dipartimento","af680003","Prenotazione","Approvato","Formisano Andrea","Yes","Informatica II Anno","15:47:46 - lunedì 08 febbraio 2016"
"Geometria I","Aule","A3","09:00:00 - lunedì 15 febbraio 2016","11:00:00 - lunedì 15 febbraio 2016","2 ore","scritto","CdS interno del Dipartimento","rv470001","Prenotazione","Approvato","Vincenti Rita","Yes","Matematica I Anno","06:59:53 - lunedì 21 settembre 2015"
"Meccanica Razionale I","Aule","B3","09:00:00 - lunedì 15 febbraio 2016","11:00:00 - lunedì 15 febbraio 2016","2 ore","Tutorato Giada Podelvento","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Nucci Maria Clara","No","Matematica III Anno","12:44:17 - martedì 09 febbraio 2016"
"Reti di Calcolatori: Protocolli e SAED","Aule","Aula Verde","09:00:00 - lunedì 15 febbraio 2016","13:00:00 - lunedì 15 febbraio 2016","4 ore","","CdS interno del Dipartimento","st600001","Prenotazione","Approvato","Tasso S","Yes","Informatica III Anno","16:36:22 - lunedì 01 febbraio 2016"
"uso didattico","Aule","NB20","09:00:00 - lunedì 15 febbraio 2016","19:00:00 - lunedì 15 febbraio 2016","10 ore","","CdS interno del Dipartimento","rz690001","Prenotazione","Approvato","Bistarelli Stefano","No","Informatica","12:02:05 - venerdì 26 febbraio 2016"
"Tutorato Analisi Matematica II","Aule","B3","11:00:00 - lunedì 15 febbraio 2016","13:00:00 - lunedì 15 febbraio 2016","2 ore","Tutorato Analisi Matematica II , tenuto dalla Dott.ssa Serena Gentili - n.35 studenti","CdS interno del Dipartimento","tc590001","Prenotazione","Approvato","Cardinali Tiziana","No","Matematica II Anno","14:04:56 - martedì 15 dicembre 2015"
"Geometria IV e Istituzioni di Matematica","Aule","A3","14:00:00 - lunedì 15 febbraio 2016","18:00:00 - lunedì 15 febbraio 2016","4 ore","","CdS interno del Dipartimento","pr520001","Prenotazione","Approvato","Ciccoli Nicola","Yes","Matematica III Anno","14:34:30 - venerdì 05 febbraio 2016"
"Esame","Aule","C2","15:00:00 - lunedì 15 febbraio 2016","19:00:00 - lunedì 15 febbraio 2016","4 ore","","CdS interno del Dipartimento","af680003","Prenotazione","Approvato","Formisano Andrea","Yes","Informatica II Anno","15:47:36 - lunedì 08 febbraio 2016"
"Esame scritto Analisi Numerica e Calcolo Numerico","Aule","A3","09:00:00 - martedì 16 febbraio 2016","14:00:00 - martedì 16 febbraio 2016","5 ore","","Altro","bi740001","Prenotazione","Approvato","Iannazzo Bruno","No","Matematica","07:32:55 - lunedì 25 gennaio 2016"
"Tutorato Analisi Matematica II","Aule","B3","09:00:00 - martedì 16 febbraio 2016","11:00:00 - martedì 16 febbraio 2016","2 ore","Tutorato Analisi Matematica II , tenuto dalla Dott.ssa Serena Gentili - n.35 studenti","CdS interno del Dipartimento","tc590001","Prenotazione","Approvato","Cardinali Tiziana","No","Matematica II Anno","14:19:42 - martedì 15 dicembre 2015"
"Esame Simulazione","Aule","Aula C3","09:00:00 - martedì 16 febbraio 2016","13:00:00 - martedì 16 febbraio 2016","4 ore","","CdS interno del Dipartimento","st600001","Prenotazione","Approvato","Tasso Sergio","Yes","Informatica Magistrale II Anno","16:36:50 - lunedì 01 febbraio 2016"
"Sistemi multimediali","Aule","Aula Gialla","09:00:00 - martedì 16 febbraio 2016","11:00:00 - martedì 16 febbraio 2016","2 ore","","CdS interno del Dipartimento","pr520001","Prenotazione","Approvato","Pallottelli Simonetta","No","Informatica III Anno","11:47:08 - giovedì 03 dicembre 2015"
"Sistemi multimediali","Aule","Aula Verde","09:00:00 - martedì 16 febbraio 2016","11:00:00 - martedì 16 febbraio 2016","2 ore","","CdS interno del Dipartimento","pr520001","Prenotazione","Approvato","Pallottelli Simonetta","No","Informatica III Anno","11:47:09 - giovedì 03 dicembre 2015"
"orientamento","Aule","NB19","09:00:00 - martedì 16 febbraio 2016","19:00:00 - martedì 16 febbraio 2016","10 ore","","Altro","ae610001","Prenotazione","Approvato","Poggioni Valentina","No","Informatica","10:11:06 - lunedì 15 febbraio 2016"
"uso didattico","Aule","NB20","09:00:00 - martedì 16 febbraio 2016","19:00:00 - martedì 16 febbraio 2016","10 ore","","CdS interno del Dipartimento","rz690001","Prenotazione","Approvato","Bistarelli Stefano","No","Informatica","12:02:05 - venerdì 26 febbraio 2016"
"Architettura degli elaboratori con Laboratorio","Aule","A2","14:00:00 - martedì 16 febbraio 2016","16:00:00 - martedì 16 febbraio 2016","2 ore","Esame di Architettura degli Elaboratori con Laboratorio
Esonero Mod. I
Esame di Linguaggi Formali e Compilatori","CdS interno del Dipartimento","ac600001","Prenotazione","Approvato","Carpi Arturo","Yes","Informatica I Anno","15:03:13 - lunedì 15 febbraio 2016"
"Consiglio Corso di Laurea Informatica","Aule","A3","16:00:00 - martedì 16 febbraio 2016","19:00:00 - martedì 16 febbraio 2016","3 ore","","CdS interno del Dipartimento","ac600001","Prenotazione","Approvato","Carpi Arturo","No","Informatica","07:04:44 - lunedì 15 febbraio 2016"
"Seminario Scientifico","Aule","Sala Riunioni","16:00:00 - martedì 16 febbraio 2016","17:00:00 - martedì 16 febbraio 2016","1 ore","Seminario scientifico Prof. Tikhonov ","Altro","la760001","Prenotazione","Approvato","Laura Angeloni","No","Altro","13:27:46 - mercoledì 03 febbraio 2016"
"Olimpiadi della Matematica 2016","Aule","A0","17:00:00 - martedì 16 febbraio 2016","19:00:00 - martedì 16 febbraio 2016","2 ore","allestimento aule","Altro","pr520001","Prenotazione","Approvato","Fiorella Menconi","No","Altro","09:49:43 - martedì 29 dicembre 2015"
"Olimpiadi della Matematica 2016","Aule","A2","17:00:00 - martedì 16 febbraio 2016","19:00:00 - martedì 16 febbraio 2016","2 ore","allestimento aule","Altro","pr520001","Prenotazione","Approvato","Fiorella Menconi","No","Altro","09:49:43 - martedì 29 dicembre 2015"
"Olimpiadi della Matematica 2016","Aule","A0","09:00:00 - mercoledì 17 febbraio 2016","13:00:00 - mercoledì 17 febbraio 2016","4 ore","","Altro","pr520001","Prenotazione","Approvato","Fiorella Menconi","No","Altro","13:29:23 - martedì 29 dicembre 2015"
"Olimpiadi della Matematica 2016","Aule","A2","09:00:00 - mercoledì 17 febbraio 2016","13:00:00 - mercoledì 17 febbraio 2016","4 ore","","Altro","pr520001","Prenotazione","Approvato","Fiorella Menconi","No","Altro","13:29:23 - martedì 29 dicembre 2015"
"Esame di Matematiche Complementari","Aule","A3","09:00:00 - mercoledì 17 febbraio 2016","13:00:00 - mercoledì 17 febbraio 2016","4 ore","","Altro","gf460001","Prenotazione","Approvato","Giorgio Faina","Yes","Matematica Magistrale I Anno","12:28:58 - venerdì 29 gennaio 2016"
"Architettura degli Elaboratori con Laboratorio","Aule","B1","09:00:00 - mercoledì 17 febbraio 2016","11:00:00 - mercoledì 17 febbraio 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Carpi Arturo","Yes","Informatica","09:04:51 - mercoledì 17 febbraio 2016"
"Geometria I","Aule","B3","09:00:00 - mercoledì 17 febbraio 2016","13:00:00 - mercoledì 17 febbraio 2016","4 ore","orale","CdS interno del Dipartimento","rv470001","Prenotazione","Approvato","Vincenti Rita","Yes","Matematica I Anno","07:24:07 - lunedì 21 settembre 2015"
"Basi di dati e Sistemi Informativi con laboratorio","Aule","C2","09:00:00 - mercoledì 17 febbraio 2016","13:00:00 - mercoledì 17 febbraio 2016","4 ore","","CdS interno del Dipartimento","rg760001","Prenotazione","Approvato","Gentilini Raffaella","Yes","Informatica","07:04:17 - lunedì 15 febbraio 2016"
"Matematica per Chimica 1 e 2","Aule","I1","09:00:00 - mercoledì 17 febbraio 2016","13:00:00 - mercoledì 17 febbraio 2016","4 ore","","Altro","pr520001","Prenotazione","Approvato","Giulietti Massimo","No","Altro","13:48:48 - mercoledì 30 dicembre 2015"
"Programmazione II con laboratorio","Aule","Aula C3","09:00:00 - mercoledì 17 febbraio 2016","13:00:00 - mercoledì 17 febbraio 2016","4 ore","","CdS interno del Dipartimento","pr520001","Prenotazione","Approvato","Marcugini Stefano","Yes","Informatica I Anno","10:52:50 - lunedì 11 gennaio 2016"
"Programmazione II con laboratorio","Aule","Aula Gialla","09:00:00 - mercoledì 17 febbraio 2016","13:00:00 - mercoledì 17 febbraio 2016","4 ore","","CdS interno del Dipartimento","pr520001","Prenotazione","Approvato","Marcugini Stefano","Yes","Informatica I Anno","10:52:50 - lunedì 11 gennaio 2016"
"Programmazione II con laboratorio","Aule","Aula Verde","09:00:00 - mercoledì 17 febbraio 2016","13:00:00 - mercoledì 17 febbraio 2016","4 ore","","CdS interno del Dipartimento","pr520001","Prenotazione","Approvato","Marcugini Stefano","Yes","Informatica I Anno","10:52:50 - lunedì 11 gennaio 2016"
"uso didattico","Aule","NB20","09:00:00 - mercoledì 17 febbraio 2016","19:00:00 - mercoledì 17 febbraio 2016","10 ore","","CdS interno del Dipartimento","rz690001","Prenotazione","Approvato","Bistarelli Stefano","No","Informatica","12:02:05 - venerdì 26 febbraio 2016"
"Prova te","Aule","Sala Riunioni","10:00:00 - mercoledì 17 febbraio 2016","11:00:00 - mercoledì 17 febbraio 2016","1 ore","","Altro","st600001","Prenotazione","Approvato","Tasso Sergio","No","Informatica","10:31:12 - martedì 16 febbraio 2016"
"Prova te","Aule","Portatile 4","10:00:00 - mercoledì 17 febbraio 2016","11:00:00 - mercoledì 17 febbraio 2016","1 ore","","Altro","st600001","Prenotazione","Approvato","Tasso Sergio","No","Informatica","10:31:13 - martedì 16 febbraio 2016"
"Programmazione dichiarativa","Aule","B1","11:00:00 - mercoledì 17 febbraio 2016","13:00:00 - mercoledì 17 febbraio 2016","2 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Formisano Andrea","No","Informatica Magistrale II Anno","12:22:28 - giovedì 20 agosto 2015"
"prova tesi","Aule","Sala Riunioni","12:00:00 - mercoledì 17 febbraio 2016","13:00:00 - mercoledì 17 febbraio 2016","1 ore","","Altro","vp760001","Prenotazione","Approvato","Valentina Poggioni","No","Informatica","10:31:42 - martedì 16 febbraio 2016"
"prova tesi","Aule","Portatile 4","12:00:00 - mercoledì 17 febbraio 2016","13:00:00 - mercoledì 17 febbraio 2016","1 ore","","Altro","vp760001","Prenotazione","Approvato","Valentina Poggioni","No","Informatica","10:31:43 - martedì 16 febbraio 2016"
"Sistemi operativi con laboratorio","Aule","A0","14:00:00 - mercoledì 17 febbraio 2016","15:00:00 - mercoledì 17 febbraio 2016","1 ore","","CdS interno del Dipartimento","af680003","Prenotazione","Approvato","Formisano Andrea","Yes","Informatica II Anno","15:06:21 - mercoledì 10 febbraio 2016"
"Sistemi operativi con laboratorio","Aule","A0","15:00:00 - mercoledì 17 febbraio 2016","19:00:00 - mercoledì 17 febbraio 2016","4 ore","","CdS interno del Dipartimento","ae610001","Prenotazione","Approvato","Formisano Andrea","No","Informatica II Anno","12:19:52 - giovedì 20 agosto 2015"
"Consiglio di Dipartimento","Aule","A3","15:00:00 - mercoledì 17 febbraio 2016","19:00:00 - mercoledì 17 febbraio 2016","4 ore","","Altro","pr520001","Prenotazione","Approvato","Vinti Gianluca","No","Altro","10:32:10 - martedì 16 febbraio 2016"
