name,floor,building,minor,major
Sala Riunioni,-1,Informatica,,
Aula Verde,1,Fisica,,
I2,-1,Informatica,,
C2,1,Informatica,,
NB20,0,Informatica,,
NB19,1,Informatica,,
B3,-1,Informatica,,
A2,1,Informatica,,
A0,-1,Informatica,,
Portatile 4,-1,Fisica,,
Aula C3,-1,Informatica,,
Proiettore 4,0,Fisica,,
B1,0,Fisica,,
A3,1,Informatica,,
Aula Gialla,1,Informatica,,
I1,0,Informatica,,
